Date Temp Load IsWeekday
2014-08-20 82.94 2.18563 True
2015-06-14 87.08 2.28138 False
2015-06-20 87.98 2.52928 False
2014-08-21 84.92 2.4515 True
2014-08-22 82.94 2.34385 True
2014-08-25 80.96 2.5267 True
2014-08-26 84.92 2.49529 True
2014-08-27 86 2.52622 True
2014-08-28 89.06 2.64871 True
2015-06-21 91.04 2.6622 False
2014-08-29 87.08 2.42954 True
2015-06-01 82.04 2.32091 True
2015-06-02 86 2.5728 True
2015-06-03 82.04 2.52627 True
2015-06-04 82.04 2.58682 True
2015-06-05 78.98 2.41284 True
2015-06-08 77 2.24405 True
2015-06-09 82.94 2.16076 True
2015-06-10 84.02 2.3848 True
2015-06-11 84.02 2.56761 True
2015-06-12 86 2.53088 True
2015-06-27 86 2.1298 False
2015-06-28 87.98 2.27203 False
2015-06-15 89.06 2.6484 True
2015-06-16 80.06 2.10574 True
2015-06-17 87.98 2.45276 True
2015-06-18 80.06 2.43174 True
2015-07-04 78.98 1.94468 False
2015-07-05 82.04 1.99949 False
2015-06-19 78.08 2.16692 True
2015-06-22 78.98 2.48534 True
2015-07-11 82.94 2.61675 False
2015-06-23 82.04 2.52895 True
2015-07-12 87.98 2.43025 False
2015-06-24 82.04 2.16926 True
2015-06-25 82.94 2.38368 True
2015-07-18 80.06 2.04923 False
2015-06-26 75.02 1.83505 True
2015-06-29 71.06 1.8445 True
2015-06-30 66.02 1.85829 True
2015-07-19 71.96 1.80844 False
2015-07-25 80.96 1.89537 False
2015-07-26 80.06 2.16157 False
2015-07-01 75.92 2.1223 True
2015-07-02 77 2.36572 True
2015-07-03 84.02 2.64679 True
2015-08-01 84.02 2.09843 False
2015-08-02 87.08 2.21562 False
2015-08-08 80.06 1.94852 False
2015-07-06 82.94 2.59671 True
2015-08-09 86 2.20678 False
2015-07-07 87.98 2.41955 True
2015-07-08 82.04 2.40405 True
2015-08-15 75.02 1.68249 False
2015-07-09 86 2.34831 True
2015-07-10 86 2.31122 True
2015-07-13 82.04 2.32597 True
2015-07-14 82.94 2.29498 True
2015-08-16 86 2.34186 False
2015-08-22 89.06 2.24476 False
2015-08-23 87.98 2.22339 False
2015-08-29 87.08 2.28172 False
2015-07-15 84.92 2.22514 True
2015-08-30 82.94 1.93689 False
2015-07-16 89.96 2.44726 True
2015-07-17 87.98 2.64756 True
2015-07-20 89.96 2.64559 True
2016-06-04 75.92 1.87019 False
